,hist,bin_edges,histmax
203,3385.0,3248.03515625,
204,3070.0,3264.015625,
205,3347.0,3279.99609375,
206,3061.0,3295.9765625,
207,2820.0,3311.95703125,
208,3146.0,3327.9375,
209,3074.0,3343.91796875,
210,2960.0,3359.8984375,
211,2842.0,3375.87890625,
212,2656.0,3391.859375,
213,3071.0,3407.83984375,
214,2903.0,3423.8203125,
215,2823.0,3439.80078125,
216,2674.0,3455.78125,
217,2445.0,3471.76171875,
218,2682.0,3487.7421875,
219,2711.0,3503.72265625,
220,2676.0,3519.703125,
221,2457.0,3535.68359375,
222,2330.0,3551.6640625,
223,2541.0,3567.64453125,
224,2416.0,3583.625,
225,2470.0,3599.60546875,
226,2209.0,3615.5859375,
227,2160.0,3631.56640625,
228,2459.0,3647.546875,
229,2250.0,3663.52734375,
230,2183.0,3679.5078125,
231,2083.0,3695.48828125,
232,1847.0,3711.46875,
233,2180.0,3727.44921875,
234,2158.0,3743.4296875,
235,2074.0,3759.41015625,
236,1857.0,3775.390625,
237,1732.0,3791.37109375,
238,1965.0,3807.3515625,
239,2021.0,3823.33203125,
240,1930.0,3839.3125,
241,1787.0,3855.29296875,
242,1624.0,3871.2734375,
243,1884.0,3887.25390625,
244,1803.0,3903.234375,
245,1835.0,3919.21484375,
246,1760.0,3935.1953125,
247,1493.0,3951.17578125,
248,1692.0,3967.15625,
249,1632.0,3983.13671875,
250,1553.0,3999.1171875,
251,1390.0,4015.09765625,
252,1151.0,4031.078125,
253,1194.0,4047.05859375,
254,1081.0,4063.0390625,
255,3711.0,4079.01953125,
256,,4095.0,
